cc789cb5-51cd-4a34-bf3f-0ceba75fcdc8|M100R2602NU00107|2026-04-16|1579523.99|||settled|M124: LC# prefix 기반 추정 (M100→광주)
M146: b
08f7803b-3c55-450b-b27f-32dae5bec855|M100R2602NU00114|2026-02-01|28090.80|||settled|M134: imp26-론지솔라
M146: bank 정정 (xlsx 마스터
560f9ad8-052c-46a3-8f32-7f6e4f55779e|M100R2603NU00032|2026-03-12|1854523.89|14360||settled|M145: xlsx 마스터 (수입진행상황 2026년도 론지솔라 sheet
dc977669-a243-4088-8d6e-c1fc71f80c0d|M12MK2502NU00018|2025-03-01|1274673.60|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
4b7445ec-dae6-44e6-80b2-7a2b15673389|M12MK2502NU00032|2025-03-10|2516314.50|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
0a32b9cd-834f-4fd1-aac2-5532f2bb87f6|M12MK2503NU00025|2025-04-30|2183616.00|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
cd769393-9dcc-4b82-a7c9-4ae71fd1e5a6|M12MK2503NU00032|2025-04-19|1989734.40|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
87700c53-2977-4fab-9b10-26a4aff5181a|M12MK2503NU00040|2025-04-08|483024.08|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
4712dbe5-f7ad-465e-9e85-9a327f636821|M12MK2504NU00018|2025-04-20|284938.73|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
e6566d18-77c4-4f9c-ba40-07ab33a0f019|M12MK2504NU00025|2025-06-04|2516428.80|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
05662029-96ff-4451-8418-db97899f2684|M12MK2504NU00032|2025-05-26|691200.00|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
44a648ac-7324-4a4b-9b4c-2fa8535f801d|M12MK2507NU00025|2025-08-10|514153.03|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
d81953db-e9c8-4934-b40d-945ffe72773d|M12MK2507NU00032|2025-07-23|4895028.48|||cancelled|M145: xlsx 마스터 (수입진행상황 2025년도 row 569). 
63b78ad8-cae1-4940-a812-e2216aefdc76|M12MK2508NU00025|2025-09-05|469763.48|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
44dc7489-f353-440e-9fd0-30c5a2d7d723|M12MK2508NU00032|2025-09-29|1244519.43|||settled|M119 백필 — bank=신한 default, 실제 발급은행 확인 필요
