filename,rel_path,is_swift_mt700,lc_number,issue_date,expiry_date,amount,currency,drawee_bic,drawee_bank,usance_days,usance_basis,applicant,beneficiary,port_loading,port_discharge
탑솔라 가전문 0325(수정).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/탑솔라 가전문 0325(수정).pdf,True,M0215403NU00300,2024-03-25,2024-05-24,1072426.5,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코모듈 625WP 10MW  LC개설 전신문(2024.03.05).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW  LC개설 전신문(2024.03.05).pdf,False,,,,,,,,,,,,,
징코모듈 625WP 10MW LC 가전문.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW LC 가전문.pdf,False,,,,,,,,,,,,,
탑솔라 가전문(2024.02.21).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(2024.02.21).pdf,True,M0215402NU00089,2024-02-21,2024-04-19,536213.25,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라 가전문(징코솔라)2024.02.20 취소.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(징코솔라)2024.02.20 취소.pdf,True,M0215402NU00071,2024-02-20,2024-04-19,536213.25,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,KWANGYANG PORT OF SOUTH KOREA
탑솔라 주식회사 전문(KDB_SWIFT발신_21992407_20240221164115).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 주식회사 전문(KDB_SWIFT발신_21992407_20240221164115).pdf,True,M0215402NU00089,2024-02-21,2024-04-19,536213.25,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코솔라 가전문(2024.05.14).pdf,2024년 모듈발주/징코모듈/100MW 중 630W 5MW 선적진행 2024.05.25/징코솔라 가전문(2024.05.14).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_M0215407NU00395 (630WP 10MW).pdf,"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/10MW 선적진행(630WP 15,879pcs)  7.25개설/KDB_SWIFT발신_M0215407NU00395 (630WP 10MW).pdf",True,M0215407NU00395,2024-07-25,2024-10-01,945177.66,USD,KODBKRSE,산업은행,90,B/L_DATE,"THE ONE CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
디원 가전문.pdf,"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/10MW 선적진행(630WP 15,879pcs)  7.25개설/디원 가전문.pdf",True,M0215407NU00370,2024-07-25,2024-09-30,945177.66,USD,KODBKRSE,산업은행,90,B/L_DATE,"THE ONE CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
디원-징코모듈 630WP 5MW LC개설 전신문.pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/630WP 5MW 진행 7920pcs/디원-징코모듈 630WP 5MW LC개설 전신문.pdf,False,,,,,,,,,,,,,
