lc_number,file_count,sample_file,sample_sheet,sample_row
M12MK2408NU00057,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"LR5-72HGD-580M | 4716 | 2735280 | 0.111 | 303616.08 | 하나
은행 | 2024-08-23 00:00:00 | M12MK2408NU00057 | 17262 | 10011960 | 166,988.84(55%)
136,627.24 (45%)

581,552.27 (72%)
226,159.21 (28%) | 748541.1"
M12MK2408NU00064,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"LR7-72HGD-610M | 1152 | 702720 | 0.111 | 78001.92 | 하나
은행 | 2024-08-30 00:00:00 | M12MK2408NU00064 | 1152 | 702720 | 42,901.06(55%)
 35,100.86(45%) | 42901.06 | 2024-09-13 00:00:00 | 2024-09-16 00:00:"
M12MK2409NU00018,4,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"JKM630N-78HL4-BDV-S
(amend v4 rev) | 39132 | 576 | 24653160 | 0.105 | 2588581.8 | 하나은행 | 2024-09-13 00:00:00 | M12MK2409NU00018 | 39132 | 576 | 24653160 | 90% 2,329,723.62
10% 258,858.18 | 2329723.62 "
M12MK2409NU00025,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"LR7-72HGD-610M | 396 | 241560 | 0.111 | 26813.16 | 하나은행 | 2024-09-24 00:00:00 | M12MK2409NU00025 | 396 | 241560 | (55%)14,747.24
 (45%)12,065.92 | 14747.24 | 2024-10-15 00:00:00 | 396 | 부산 | 2024-10-1"
M12MK2409NU00040,3,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"JKM630N-78HL4-BDV-S
(amend v4 rev) | 63504 | 40007520 | 0.105 | 4200789.6 | 하나은행 | 2024-09-27 00:00:00 | M12MK2409NU00040
(USD3780710.64) | 63504 | 40007520 | 90% 3,780,710.64
10% 420,078.96 | 2025.1."
M12MK2410NU00018,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"LR5-72HGD-580M | 200 | 116000 | 0.111 | 12876 | 하나
은행 | 2024-10-15 00:00:00 | M12MK2410NU00018 | 7081.8 | 7081.8 | 2024-10-27 00:00:00 | 2024-10-30 00:00:00 | 200 | 2024-10-29 00:00:00 | 광양 | 씨앤아이 | N"
M12MK2410NU00025,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"JKM630N-78HL4-BDV-S | 31104 | 19595520 | 0.105 | 하나
은행 | 2024-10-25 00:00:00 | M12MK2410NU00025 | 2025.01.09 | 1851776.64 | 2024-11-19 00:00:00 | 2024-11-21 00:00:00 | 17280 | 220 | 1028764.8 | 광양 | J"
M12MK2412NU00025,1,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2024,"2024-05-17 00:00:00 | 징코 | JKS-TOP240517 (125MW)
225MW 수정진행
(10%tt, 90% LC)
V7 | JKM635N-78HL4-BDV-S | 23616 | 14996160 | 0.0895 | 1342156.3199999998 | 하나
은행 | 2024-12-06 00:00:00 | M12MK2412NU00025 |"
M12MK2507NU00032,4,2025년 모듈 발주/수입진행상황(module)-2025년도.xlsx,2025,"85938 | 300 | 55000320 | 0.089 | 4895028.4799999995 | 하나
은행 | 2025-07-23 00:00:00 | M12MK2507NU00032 | 캔슬완료 | 캔슬진행 | 4405525.631999999"
M42M62602NU00018,1,2026년 모듈 발주/수입진행상황(module)-2026년도.xlsx,론지솔라,"540 | 3384 | 1827360 | 0.15 | 27410.4 | 246693.6 | 274104 | 신한
은행 | 2026.
02.20 | M42M62602NU00018 | 2447321.85 | 246693.6 | 2026-04-25 00:00:00 | 2026-04-28 00:00:00 | 3384 | 730 | 37 | 5/8까지 | 오비엘5/"
