rel_path,file_type,page_count,text_len
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코 7.5MW 3.5선적JWSH25030014/OBL SNKO03K250201374.pdf,OBL,2,3065
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지선적서류/[선적서류]_탑솔라(주)__론지모듈_LR7-72HYD-640_645M_11_40HQ__LR7-72HGD-620M_1_40HQ__/LS2507281831_BL.pdf",BL,1,3645
"2025년 모듈 발주/징코모듈/화신이엔지/징코-화신 635WP 17280pcs SNKO03K251102055/BL_17,280pcs.pdf",BL,2,3308
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코33.5/HBL SNKO03K250400209 (SHACYV52616).pdf,HBL,6,16467
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코33.5/OBL SNKO03K250302336.pdf,OBL,2,3136
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코33.5/OBL SNKO03K250302342.pdf,OBL,2,3126
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코33.5/OBL SNKO03K250302344.pdf,OBL,2,3032
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코33.5/OBL SNKO03K250302826.pdf,OBL,2,2789
2025년 모듈 발주/징코모듈/디원/선적서류/OneDrive_2025-12-09 디원 11502pcs  DJSCNGB250024680_BL/DJSCNGB250024680_BL COPY.pdf,BL,1,3420
"2025년 모듈 발주/징코모듈/디원/선적서류/OneDrive_2025-12-09 디원  5760pcs DJSCNGB250024685/BL_Theone_5,760pcs.pdf",BL,1,3057
"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/징코-탑솔라 13,248pcs- 동진상선 DJSCNGB250024687/DJSCNGB250024687_BL COPY.pdf",BL,1,3349
"2025년 모듈 발주/징코모듈/화신이엔지/징코-화신 635WP 17280pcs SNKO03K251102055/FW_ Re_ ZJNAHW002 8000325107,SNKO03K251102055,QTY_17280 PCS/SNKO03K251102055 BL (1).pdf",BL,2,3308
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 2차 개설 25MW)2025.03.19)/징코 17280pcs/OBL HDMUSHAA28081200 635W 17280pcs.pdf,OBL,2,4225
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/JWSH25070012/JWSH25070012 OBL.pdf,OBL,2,3648
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/JWSH25070013/JWSH25070013 OBL.pdf,OBL,2,3521
2025년 모듈 발주/징코모듈/디원/선적서류/FW_ Re_ 진코 25Q3선적LC Re_ 7월선적스케줄 Re_ 선적납기  JWSH25070017/JWSH25070017 OBL.pdf,OBL,2,3372
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/JWSH25070017/JWSH25070017 OBL.pdf,OBL,2,3372
2025년 모듈 발주/징코모듈/디원/선적서류/FW_ Re_ 진코 25Q3선적LC Re_ 7월선적스케줄 Re_    JWSH25070018/JWSH25070018 OBL.pdf,OBL,1,2481
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/JWSH25070018/JWSH25070018 OBL.pdf,OBL,1,2481
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/JWSH25070021/JWSH25070021 OBL.pdf,OBL,1,2182
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/징코 2025.7.15선적 JWSH25070022/JWSH25070022 OBL.pdf,OBL,2,4078
