__lc_number,__source_file,__sheet,__row,10%,1PLT  수량,90%,Amount,Amount(100%),B/L No,F/S,L/G 발행,LC,No.,P/O No.,PLT,Q'ty,Unit  price,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col23,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col5,col50,col51,col52,col53,col54,col6,col7,기타 비용,반입 후 60일,반출 기한,발주서 PI,발주일자,발주처 및 발주일자,선적,수량 (F/M包),업체,운송/창고료 (VAT포함가),유산스,입항,통관,포워더,"포장 40""",품명,현장배송
M0215402NU00089,수입진행상황(module)-2025년도.xlsx,2024,114,,,,2822175,,JWSH24020155,,2024-03-04,산업은행,2,"JKS-TOP240118
(5% T/T, 95% LC)
T/T 5% USD565,31.98


MCKRJH24Q104 100MW amend v1 rev",222,39960,0.113,,2024-02-21,M0215402NU00089,7992,,4995000,"564,435.00
(5% 28,221.75, 
95% 536,213.25)",,536213.25,,,,,안동시 기산리,625,288,,,,,,,,,,,,,,,,,,,,,,,24975000,,,부산,,2024-01-18,,1900-01-01,7992,징코,26813406,2024-05-29,2024-03-02,2024-02-29,"씨앤
아이",,JKM625N-78HL4-BDV,2024-03-06
M12MK2403NU00018,수입진행상황(module)-2025년도.xlsx,2024,131,,36장,,,,JWSH24030083,,2024-03-14,"하나
은행",,,224,,,,2024-03-05,M12MK2403NU00018,15984,,9990000,"1,128,870.00
(5% 56,443.50, 
95% 1,072,426.50)",,541044,,,,,김해 명동리,625,612,,,,,,,,,,,,,,,,,,,,,,,,,,부산,,,,2024-03-14,8064,,26859265,2024-06-11,2024-03-16,,"씨앤
아이",,,2024-03-23
M0215403NU00300,수입진행상황(module)-2025년도.xlsx,2024,177,,36장,,,,JWSH24040006,,O B/L,산업은행,,,444,,,,2024-03-25,M0215403NU00300,15984,,9990000,"1,128,870.00
(5% 56,443.50, 
95% 1,072,426.50)",,1072426.5,,,,,경북 청도군 노산길,625,144,,,,,,,,,,,,,,,,,,,,,,,,,,광양,,,,2026-04-06,15984,,70219015,2024-07-05,2024-04-11,,"씨앤
아이",28,,2024-05-08
M12MK2405NU00025,수입진행상황(module)-2025년도.xlsx,2024,228,,,,566387.64,,EASHO2421NK232,,2024-05-29,"하나
은행",,,1900-08-08,7956,0.113,,   ,M12MK2405NU00025,7956,,5012280,"566,387.64
(5% 28,319.38, 95%  538,068.26)",,538068.26,,,,,나주 동곡리,630,144,,,,,,,,,,,,,,,,,,,,,,,5012280,,,,,,,2024-05-25,7956,,32732295,,2024-05-26,,"씨앤
아이",14,"JKM630N-78HL4-BDV

(amend v2 rev)",2024-06-03
M12MK2409NU00018,수입진행상황(module)-2025년도.xlsx,2024,257,,,,2588581.8,,JWSH24090078,,2024-09-30,하나은행,,,432,39132,0.105,,2024-09-13,M12MK2409NU00018,39132,576,24653160,"90% 2,329,723.62
10% 258,858.18",,2329723.62,,,,,부안 백련리,630,792,,,,,,,,,,,,,,,,,,,,,,576,24653160,,,"부산 
신항",,,,2024-09-28,15552,,62437367,,2024-09-30,,"씨앤
아이",,"JKM630N-78HL4-BDV-S
(amend v4 rev)",2024-10-11
M12MK2409NU00040,수입진행상황(module)-2025년도.xlsx,2024,311,,,,4200789.6,,EASEK2442NB233,,2024-10-25,하나은행,,,155,63504,0.105,,2024-09-27,"M12MK2409NU00040
(USD3780710.64)",63504,,40007520,"90% 3,780,710.64
10% 420,078.96",,332205.3,,,,,당진초락도리,630,2880,,,,,,,,,,,,,,,,,,,,,,,40007520,,,부산,,,,2024-10-25,5580,,17379860,2025.1.22,2024-10-28,,"씨앤
아이",,"JKM630N-78HL4-BDV-S
(amend v4 rev)",2024-10-30
M0215410NU00281,수입진행상황(module)-2025년도.xlsx,2024,340,,,,5250987,,JWSH24110019,,2024-11-25,"산업
은행",,,4000,79380,0.105,,2024-10-15,M0215410NU00281,,,,4725888.3,,4725888.3,,,,,당진초락도리,630,4320,,,,,,,,,,,,,,,,,,,,,,,50009400,,,평택,,,,2024-11-17,14400,,32587040,,,,,,"JKM630N-78HL4-BDV-S
(amend v4 rev)",2024-11-30 아침
M0215410NU00370,수입진행상황(module)-2025년도.xlsx,2024,378,,,,78586.2,,JWSH24110084,,2024-11-27,"산업
은행",,,,1188,0.105,,2024-10-25,M0215410NU00370,,,,,,70727.58,,,,,1034번지 본사,,108,,,,,,,,,,,,,,,,,,,,,,24,748440,,,,,,,,1212,,3943770,,,,,,JKM630N-78HL4-BDV-S,2024-12-02 아침
M12MK2410NU00025,수입진행상황(module)-2025년도.xlsx,2024,387,,1028764.8,,,,JWSH24110079,,,"하나
은행",,,220,31104,0.105,,2024-10-25,M12MK2410NU00025,,,,,,1851776.64,,,,,당진 초락도리,630,1008,,,,,,,,,,,,,,,,,,,,,,,19595520,,,광양,,,,2024-11-19,17280,,49106260,2025.01.09,2024-11-21,,,,JKM630N-78HL4-BDV-S,2024-11-26
M12MK2412NU00025,수입진행상황(module)-2025년도.xlsx,2024,421,,2024-12-21,,1342156.3199999998,,JWSH24120043,2024-12-19,2024-12-24,"하나
은행",,"JKS-TOP240517 (125MW)
225MW 수정진행
(10%tt, 90% LC)
V7",2024-12-20,23616,0.0895,,2024-12-06,M12MK2412NU00025,23616,,14996160,1207940.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14996160,,,광양,,2024-05-17,,2024-12-16,11520,징코,31243645,,2024-12-18,2024-12-25,2024-12-26,2024-12-22,JKM635N-78HL4-BDV-S,
M12MK2502NU00018,수입진행상황(module)-2025년도.xlsx,2024,471,,,,1274673.6,,SNKO03K250200546,,,하나,,,,23616,0.085,,2025-02-10,M12MK2502NU00018,23616,,14996160,"90%
1,147,206.24",,,,,,,경주 안강읍,635,288,,,,,,,,,,,,,,,,,,,,,,,14996160,,,씨앤아이,,,,2025-02-25,11520,,27776685,,2025-02-28,,,,JKM635N-78HL4-BDV-S,2025-03-05
M12MK2502NU00032,수입진행상황(module)-2025년도.xlsx,2024,500,,,,2148512.21,,JWSH25030014,,,하나,,,,46620,0.085,,2025-02-19,M12MK2502NU00032,46620,,29603700,"(100%)2516314.50
(10%)261631.45
(90%)2264683.05
-116170.84(T/T정산)",,,,,,,"경북 경주(성화1,2)",635,288,,,,,,,,,,,,,,,,,,,,,,,29603700,,,블루,,,,2025-03-05,11520,,25045064,,2025-03-10,,,,JKM635N-78HL4-BDV-S,2025-03-11
M0215407NU00395,수입진행상황(module)-2025년도.xlsx,2024,585,,,,1050197.4,,EASEK2431NK232,,2024-08-13,산업은행,,JKS-TO240517 (25MW),224,15876,0.105,,2024-07-25,M0215407NU00395,15879,,10003770,945177.66,,480090.24,,,,,경남 함안(동경),630,288,,,,,,,,,,,,,1,,,,,,,,,,10001880,,,,,"디원
2024-5-17",,2024-08-10,8064,징코,23653480,2024-11-08,2024-08-16,광야,씨앤아이,,JKM630N-78HL4-BDV-S,2024-08-20
M04NG2409NU00018,수입진행상황(module)-2025년도.xlsx,2024,619,,,,523908,,JWSH24090056 ,,2024-09-24,기업은행,,,220,7920,0.105,,2024-09-06,M04NG2409NU00018,7920,,4989600,"10% TT
90%LC
-415.80
 471,101.40",,471517.2,,,,,해남 한자리,630,288,,,,,,,,,,,,,,,,,,,,,,,4989600,,,,,,,2024-09-23,7920,,25308135,,2024-09-25,광양,씨앤아이,,JKM630N-78HL4-BDV-S,2024-10-05
M04NG2409NU00032,수입진행상황(module)-2025년도.xlsx,2024,639,,,,1044130.5,,EASEK2439NB232,,,"기업
은행",,,220,15660,0.105,,2024-09-20,M04NG2409NU00032,7920,,5029200,"528,066.00
10% TT
90%LC",,475259.4,,,,,탑솔라,635,72,,,,,,,,,,,,,,,,,,,,,,,9944100,,,부산,,,,2024-10-06,7920,,33617767,,2024-10-10,"부산
북항","씨앤
아이",14대,JKM635N-78HL4-BDV-S,2024-10-17
M04NG2410NU00025,수입진행상황(module)-2025년도.xlsx,2024,662,,,,,,JWSH24110045,,,"기업
은행",,,219,,,,2024-10-17,M04NG2410NU00025,,,,"90% 464,458.05",,"516,064.50
90% 464,458.05
10%51,606.45",,,,,장흥 북교리,635,252,,,,,,,,,,,,,,,,,,,,,,,,,,부산,,,,2024-11-16,7740,,29729649,,2024-11-18,부산,"씨앤
아이",,,2024-12-04
M12MK2402NU00018,수입진행상황(module)-2025년도.xlsx,2024,680,,,,1301806.4400000002,,ZHC2402012,,2024-03-08,"하나
은행",3,KNK-TOP240130 (10MW),216,14293,0.132,,2024-02-15,M12MK2402NU00018,14293,200,9862170,1301806.4400000002,,649218.24,,,,,당진태양광,690,2772,,,,,,,,,,,,,,,,,,,,,,200,9862170,,,평택,,2024-01-30,,2024-02-25,7128,KNK,15716820,,2024-02-27,완료,"씨앤
아이","12""",CS7N-690TB-AG,2024-03-12
M12MK2403NU00032,수입진행상황(module)-2025년도.xlsx,2024,687,,,,1334322,,ZHC2403011,200,,"하나
은행",4,KNK-TOP240131 (20MW),,14650,0.132,,2024-03-18,M12MK2403NU00032,14650,200,10108500,1334322,,1334322,,,,,남원 자래리,690,561,,,,,,,,,,,,,,,,,,,,,,200,10108500,,,평택,,2024-01-31,,2024-03-26,14850,KNK,34753506,2024-06-24,2024-03-27,,"씨앤
아이",25,CS7N-690TB-AG,2024-04-02
M12MK2404NU00018,수입진행상황(module)-2025년도.xlsx,2024,693,,33,,1269290.8800000001,,ZHC2404001,200,발행,"하나
은행",,,431,13936,0.132,,2024-04-01,M12MK2404NU00018,13936,200,9615840,1269290.8800000001,,1269290.8800000001,,,,,장성 나노산단,690,78,,,,,,,,,,,,,,,,,,,,,,200,9615840,,,평택,,,,2024-04-17,14136,,32584905,,2024-04-19,,"씨앤
아이",24,,2024-04-24
M12MK2404NU00025,수입진행상황(module)-2025년도.xlsx,2024,699,,33,,138441.6,,ZHC2404043,10,발행,"하나
은행",5,KNK-TOP240408 (1MW),52,1520,0.132,,2024-04-17,M12MK2404NU00025,1520,10,1048800,138441.6,,138441.6,,,,,당진(동광)태양광,690,1200,,,,,,,,,,,,,,,,,,,,,,10,1048800,,,인천,,2024-04-08,,2024-04-30,1530,KNK,4866158,2024-07-29,2024-05-01,,"씨앤
아이",3,CS7N-690TB-AG,2024-05-03
M12MK2503NU00025,수입진행상황(module)-2025년도.xlsx,2025,5,,,,801014.4,,SNKO03K250302336 ,,2025-04-28,하나,1,"MCKRJH25Q108
(Rev.1)",320,15768,0.08,,2025-03-14,M12MK2503NU00025,31500,20MW,20002500,1600200,1440180,,526694.4,,,,,,탑솔라,635,144,,,,,,,,,,,,,,,,,,,,,10012680,,,,,,탑솔라,2025-04-24,11520,징코,25537000,,2025-05-01,,블루,20,"JKM635N-78HL4-BDV-S

(T/T 1,360,627.20)
- 2025/3/13송금


(90% 12,245,644.80)",2025-05-07
M12MK2503NU00032,수입진행상황(module)-2025년도.xlsx,2025,62,,36,,1828.8,,SHAA28081200,,,하나,,,480,36,0.08,,2025-03-19,M12MK2503NU00032,39168,25MW,24871680,1989734.4000000001,1790760.96,,790041.6,,,,,,영광(기림씨),635,1728,,,,,,,,,,,,,,,,,,,,,22860,,,,,,,2025-04-15,17280,,38344480,,2025-04-19,완료,블루,30,,2025-04-24
M12MK2504NU00032,수입진행상황(module)-2025년도.xlsx,2025,101,,,,438912,,SHKWA25009166 ,,,하나,,,240,8640,0.08,,2025-04-07,M12MK2504NU00032,8640,5.5MW,5486400,438912,395020.8,,395020.8,,,,,,"나주(무희2호,곡천,새작골,리유)",635,612,,,,,,,,,,,,,,,,,,,,,5486400,,,,5톤단축,,,5-55,8640,,30491214,,2025-05-25,,블루,,,2025-06-05
M12MK2504NU00025,수입진행상황(module)-2025년도.xlsx,2025,127,,  ,,2516428.8000000003,,SHKWA25010062,,,하나,,,448,49536,0.08,,2025-04-07,M12MK2504NU00025,49536,31.5MW,31455360,2516428.8000000003,2264785.9200000004,,737372.16,,,,,,신안(비금1호),635,864,,,,,,,,,,,,,,,,,,,,,31455360,,,,5톤장축,,,2025-06-02,16128,,41500096,,,광양,선진,28,,2025-06-11
