__lc_number,__source_file,__sheet,__row,10%,1PLT  수량,90%,Amount,Amount(100%),B/L No,F/S,L/G 발행,LC,No.,P/O No.,PLT,Q'ty,Unit  price,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col23,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col5,col50,col51,col52,col53,col54,col6,col7,기타 비용,반입 후 60일,반출 기한,발주서 PI,발주일자,발주처 및 발주일자,선적,수량 (F/M包),업체,운송/창고료 (VAT포함가),유산스,입항,통관,포워더,"포장 40""",품명,현장배송
M12MK2507NU00025,수입진행상황(module)-2025년도.xlsx,2025,604,,,,462644.46,,SHADCM82253,,,"하나
은행",5,Lgi-UG-Sal-2507-3702-C012,120,3096,0.094,,2025-07-22,M12MK2507NU00025,,,,,462644.46,,234815.76,,,,,,탑솔라,론지 640,108,,,,,,,,,,,,,,,,,,,,10,1981440,,,,,,탑솔라,,2160,론지,12920634,,2025-08-11,8/11 LG,블루,,"640WP 3096pcs
645WP 4788pcs
620WP 720pcs

645WP 2,946pcs
650WP 4,770pcs  F/S 25pcs
(984,763.80)",2025-08-14
M12MK2508NU00025,수입진행상황(module)-2025년도.xlsx,2025,623,,,,178615.98,,"SHADDP34512

(탑솔라)",,,"하나
은행",,,,2946,0.094,,2025-08-19,M12MK2508NU00025,2946,,,,423056.68,,178615.98,,,,,,탑솔라,론지 645,30,,,,,,,,,,,,,,,,,,,,,1900170,,,,,,,2025-09-04,2946,,37713966,,2025-09-07,"LG
송부
완료",블루,,,2026.01.23
M0215508NU00281,수입진행상황(module)-2025년도.xlsx,2025,638,,,,10384318.049999999,,ESZX2502368,,,"산업
은행",6,"LGi-UG-Sal-2508-3660-B012

석문호 90MW
비금호 15MW",40,188660,0.0895,,2025-08-29,"M0215508NU00281
(F/S  22장)

(33.7MW)",54754,,,,2712417.34,,71335.08,"40""*2대",,,,,충남 당진 (석문호),수상 615,1440,,,,,,,,,,,,,,,,,,,,75,116025900,,,,,,디원,2025-10-26,1440,론지,,,2025-10-28,평택,선진,,"LR7-72HGD-615Ma  
(수상)

PLT / 36장",2025-10-31
M0215509NU00317,수입진행상황(module)-2025년도.xlsx,2025,666,,,,,,,,,"산업
은행",,,37.2MW,,,,2025-09-22,"M0215509NU00317
(F/S 23장)

(37.2MW)",60559,,,,2999986.89,,10월 선적예정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,어멘드필요(마지막선적기일),,,,,,,,,,
M0215509NU00356,수입진행상황(module)-2025년도.xlsx,2025,674,,,,98328.96,,"SHADFA22001
(화신이엔지)",5,,"산업
은행",7,LGi-UG-Sal-2508-3802-C012,,1588,0.096,,2025-09-26,M0215509NU00356,1588+5,5,,,785233.44,,785233.44,,,,,,탑솔라, 645M,9,,,,,,,,,,,,,,,,,,,,5,1024260,,,,,,"화신
이엔지",2025-10-14,1593,론지,57127184,,2025-10-17,완료,블루,,LR7-72HYD 645M,2026.01.23
M12MK2508NU00032,수입진행상황(module)-2025년도.xlsx,2025,702,,,,414136.80000000005,,EASPH2539SK6006,,,"하나
은행",8,"PI TED-A11046-2507-TSI-09808-00

PI 50MW (BAF.CAF,CLC) 탑솔라부담'",,7128,0.083,,2025-08-21,M12MK2508NU00032,7128,,4989600,,372723.12,,,,,,,,탑솔라,700WP,132,,,,,,,,,,,,,,,,,,,,,4989600,,,,,,탑솔라,2025-09-27,7128,트리나,37926016,,2025-10-01,완료,블루,,"TSM-700NEG21C
(STC)",2025-10-10
M100R2509NU00040,수입진행상황(module)-2025년도.xlsx,2025,768,,,,,,EASPR2542LK016,,,"국민
은행",,,658PLT,,,,2025-09-18,M100R2509NU00040,42273,,30013830,,1134143.208,,1134143.21,"40""*36대
지지대 10",,,,,경북 포항(엔솔),710WP,2772,,,,,,,,,,,,,,,,,,,,,,,,,84,,,2025-10-18,21384,,108783736,어멘드완료,,"LG
O B/L",블루,,,2025-11-25
M100R2509NU00040,수입진행상황(module)-2025년도.xlsx,2025,806,,,,1644714.72,,SNLFZGKL005117,,,"국민
은행",,,334,27522,0.083,,,M100R2509NU00040,20823,,,,575058.53,,,"40*18대

지지대10개",,,,,탑솔라,720WP,132,,,,,,,,,,,,,,,,,,,,"지지대
 15pcs",19815840,,,,,,,2025-11-18,10692,,56590552,어멘드완료,2025-11-22,,블루,,"TSM-720NEG21C
(BNPI)",2025-11-26
M12MK2511NU00032,수입진행상황(module)-2025년도.xlsx,2025,842,,,,,,"EASED2550LK056
(이에이에스쉽핑코리아)",,,하나은행,,,208,,,,2025-11-28,M12MK2511NU00032,6699,,,,360299.02,,,지지대 5개,,,,,경기도 여주(적금리2차),720WP,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-20,6699,,43040904,,,,블루,,,2026-02-26
M12MK2510NU00025,수입진행상황(module)-2025년도.xlsx,2025,851,,,,865935.36,,SNKO03K251001475,,,"하나
은행",9,RS/KRS/KR-A-TOPSOLAR-25081401,432,15552,0.087,,2025-10-16,M12MK2510NU00025,15552,,,,,,"95% 822,638.59
5% T/T 43,296.77",9875520,,,,,탑솔라,라이젠 640,72,,,,,,,,,,,,,,,,,,,,,9953280,,,,,,탑솔라,2025-10-27,15552,라이젠,,26.01.26,2025-11-03,,블루,,RSM156-9 640,2025-12-02
M0215508NU00274,수입진행상황(module)-2025년도.xlsx,2025,872,,,,5400675,,SHKW25019107,,,"산업
은행",10,MCKRJH25Q301,,94500,0.09,,2025-08-29,M0215508NU00274,93832,,,,5094373.86,,469087.19999999995,,,,,,강원도 원주(궁촌),635,1260,,,,,,,,,,,,,,,,,,,,,60007500,,,,,,탑솔라,2025-09-22,8640,징코,26507324,,,,블루,,"JKM635N-78HL4-BDV-S

5% TT
95% LC",2025-10-23
M12MK2508NU00057,수입진행상황(module)-2025년도.xlsx,2025,972,,,,,,SHKWA25019768,,,"하나
은행",,,,,,,2025-08-29,M12MK2508NU00057,668,,,,"27077.67
(-9189.72정산금)",,36267.38999999999,,,,,,대구 달서(신성FA2),635,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-28,668,,3639982,,,,블루,,,2025-11-25
M12MK2510NU00040,수입진행상황(module)-2025년도.xlsx,2025,976,,,,1792173.708,,SNKO03K251003063,,,하나은행,,,874,31464,0.0897,,2025-10-31,M12MK2510NU00040,31464,,,,1702565.02,,1702565.02,,,,,,태안군 안면읍(태안그린) 오전,635,3456,,,,,,,,,,,,,,,,,,,,,19979640,,,,,,,2025-11-16,31464,,81942460,,2025-11-19,LG,선진,,JKM635N-78HL4-BDV-S,2025-11-25
M0215511NU00388,수입진행상황(module)-2025년도.xlsx,2025,1000,,,,4298337.225,,"JWSH25120029
탑솔라
(DY ULC)",,,국민은행,,,437,81900,0.087,,2025-11-27,M0215511NU00388,33264,,,,1745786.2,,,,,,,,전북 군산(이지쏠라),635,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-20,15732,,40250476,,2025-12-24,LG송부완료,선진,,,2025-12-23
M0215511NU00388,수입진행상황(module)-2025년도.xlsx,2025,1039,,,,,,"JWSH25120034
탑솔라
(DY ULC)",,,산업은행,,,537,,,,2025-11-27,M0215511NU00388,48636,,,,2552551.03,,,,,,,,탑솔라,635,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-21,19332,,60244489,,2025-12-25,LG,선진,,,2026.01.26
M0215511NU00274,수입진행상황(module)-2025년도.xlsx,2025,1114,,,,3588448.5,,"SNKO03K251102051
화신-징코",,,산업은행,11,MCKRJH25Q402,593,63000,0.0897,,2025-11-20,M0215511NU00274,21326,,,,1214718.3,,,선적예정,,,,,탑솔라,635,216,,,,,,,,,,,,,,,,,,,,,40005000,,,,,,"화신
이엔지",2025-12-14,21326,징코,53439780,,2025-12-18,LG송부완료,선진,,"JKM635N-78HL4-BDV-S

100%  L/C",2025-12-19
M100R2512NU00025,수입진행상황(module)-2025년도.xlsx,2025,1125,,,,,,"JWSH25120010
화신-징코
(DYULC)",,,국민은행,,,480,,,,2025-12-05,M100R2512NU00025,41674,,,,2373730.2,,,,,,,,태안군(태안그린),635,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17280,,,,,,선진,,,2026-12-31
M04NG2512NU00018,수입진행상황(module)-2025년도.xlsx,2025,1159,,,,101146.32,,"디원
SHADGV03730",,,기업은행,12,Lgi-UG-Sal-2510-1898-C012,420,1584,0.099,,2025-12-01,M04NG2512NU00018,1584,,,,1079293.25,,,,,,,,충남 천안(화덕3),론지 645,396,,,,,,,,,,,,,,,,,,,,,1021680,,,,,,디원,2025-12-09,1584,론지,,,2025-12-12,LG,블루,,LR7-72HYD-645M,2026.01.24
M04NG2512NU00025,수입진행상황(module)-2025년도.xlsx,2025,1189,,,,,,"SHADHG40310
(일본통운)",,,기업은행,,,,,,,2025-12-16,M04NG2512NU00025,3323,,,,702347.24,,,,,,,,충북 청주(사정리104),론지 650,2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323,,,,,,블루,,,2026.02.06
M12MK2601NU00040,수입진행상황(module)-2026년도.xlsx,징코,5,,,,943533.8,,KD2602040181,,O BL,하나은행,,"MCKRJH25Q301 V4
*2025년 진행
계약잔량 : 158.6MW
(400MW→350MW→312.MW)",,13508,0.11,2026-01-30,M12MK2601NU00040,51560,3492,32.7,6334368.26,,896357.11,,,,제주탑솔라 더엠,635,216,,,,,,,,,,,,,,,,,,3492,,,,,,8577580,,,,,,,,,17000,탑솔라,,,,,선진,,JKM635N-78HL4-BDV-S,2026-04-23
M0215601NU00324,수입진행상황(module)-2026년도.xlsx,징코,41,,,,118702.08,,KD2602050118,,O BL,산업은행,,,,1656,0.112,2026-01-30,M0215601NU00324,78336,440,50.1MW,5334368.26,,112766.98,,,,경남고성(성현2호),640Wp,1548,,,,,,,,,,,,,,,,,,,,,,,,1059840,,,,,,,,2026-02-22,1656,,6389454,,,,블루,,JKM640N-78HL4-BDV-S-1,2026-03-27
M12MK2602NU00018,수입진행상황(module)-2026년도.xlsx,징코,144,,36,,4997278.55,,"KD2602270204
(20회차)",,O BL,하나은행,,,432,71543,0.11,2026-02-20,M12MK2602NU00018,71543,,45.4,4747414.62,,1031991.84,,,,탑솔라,635,468,,,,,,,,,,,,,,,,,,,,,,,,45429805,,,,,,,,2026-03-18,15552,,,,2026-03-20,,선진,27,JKM635N-78HL4-BDV-S-1,2026-04-10
M0215602NU00096,수입진행상황(module)-2026년도.xlsx,징코,166,,,,1306264.85,,"KD2602130302
(18회차)",,,산업은행,,,256,18701,0.11,2026-02-20,M0215602NU00096,18701,,11.9,1240951.61,,611550.72,,,,경기도 광주(그린),635,108,,,,,,,,,,,,,,,,,,,,,,,,11875135,,,,,,,,2026-03-09,9216,,,,2026-03-13,,선진,16,JKM635N-78HL4-BDV-S-1,2026-04-23
M0215603NU00153,수입진행상황(module)-2026년도.xlsx,론지솔라,5,333332.829,,2999995.461,,3333328.29,SELHTZ265427,,"프리
4/24",산업은행,1,"LGi-UG-Sal-2508-3660-B012

석문호 90MW
(기존입고 46,778EA-28.8MW)",500,46524,0.1165,,,2026-03-05,M0215603NU00153,46524,75,,2999995.46,,1160689.5,,,,당진 석문호,615Ma,2304,,,,,,,,,,,,,,,,,,,,,,28612260,,,,"김영웅
부장
서류
전달",,,,2026-03-23,18000,디원,28707480,,2026-03-25,평택,선진,25,615,2026-04-14
M0215603NU00139,수입진행상황(module)-2026년도.xlsx,론지솔라,31,380261.9415,36장,3422357.4735000003,,3802619.415,DFS815002426,,2026-03-23,산업은행,,,500,53074,0.1165,,,2026-03-05,M0215603NU00139,53074,,,3422357.48,,1160689.5,,,,당진 석문호,615Ma,1080,,,,,,,,,,,,,,,,,,,,,,32640510,,,,"김영웅
부장
서류
전달",,,,2026-03-20,18000,,37333050,,2026-03-23,광양,선진,25,615,2026-04-02
M0215603NU00160,수입진행상황(module)-2026년도.xlsx,론지솔라,55,96896.07900000001,,872064.711,,968960.79,"DFS815002467
드메르코",,,산업은행,2,"비금호 26MW  
42,284pcs",376,13524,0.1165,,,2026-03-05,M0215603NU00160,13524,,8317260,872064.71,,872064.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,8317260,,,,2026-05-18,,,,2026-05-05,13524,탑솔라,,,,광양,선진,19,615,
M100R2603NU00032,수입진행상황(module)-2026년도.xlsx,론지솔라,61,,,,,," DFS815002470
드메르코",,오비엘 5/11발송,"국민
은행",,,399,28760,,,,2026-03-12,M100R2603NU00032,28760,,17687400,1854523.89,,925972.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,17687400,,,,2026-05-18,,,,2026-05-05,14360,,,,,광양,선진,20,615,
M12MK2602NU00025,수입진행상황(module)-2026년도.xlsx,론지솔라,71,189174.375,,1702569.375,,1891743.75,"
DFS815002443",,,하나은행,3,"Lgi-HG-Sal-2601-1805-B012
(10%, 90%) 백컨텍모듈",,24875,0.117,,,"2026.
02.19",M12MK2602NU00025,,,,1702569.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16168750,,,,,,,,2026-04-11,13680,탑솔라,,,,광양,블루,,650,
M100R2602NU00107,수입진행상황(module)-2026년도.xlsx,론지솔라,93,3878.55,,34906.950000000004,,38785.5,"
DFS815002444",,,"국민
은행",,,,510,0.117,,,"2026.
02.19",M100R2602NU00107,20611,90,,1456478.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331500,,,,,,,,2026-04-11,510,,,,,광양,블루,,650,
M100R2602NU00114,수입진행상황(module)-2026년도.xlsx,론지솔라,115,28090.800000000003,,252817.2,,280908,DFS815002448,,2026-04-23,"국민
은행",4,"Lgi-HG-Sal-2601-1530-B012
(10%, 90%) 경량모듈",80,3468,0.15,,,"2026.
02.20",M100R2602NU00114,3468,,,252817.2,,209952,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872720,,,,4/28까지,,,,2026-04-16,2880,탑솔라,,,,광양,선진,,540,
M42M62602NU00018,수입진행상황(module)-2026년도.xlsx,론지솔라,122,27410.4,,246693.6,,274104,"DFS815002451
디메르코",,오비엘5/6發,"신한
은행",,,730,3384,0.15,,,"2026.
02.20",M42M62602NU00018,,,,2447321.85,,246693.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827360,,,,5/8까지,,,,2026-04-25,3384,,,,2026-04-28,광양,선진,37,540,
M34PD2601NU00018,수입진행상황(module)-2026년도.xlsx,트리나,5,,"지지대
30EA",,"2465791.8

지지대 60pcs",,"EASEK2606SK0001
(EAS Shipping)",,2026-02-24,광주,1,TED-A11046-2601-TSI-00499-00,678,41679,0.096,2026-01-22,M34PD2601NU00018,41679,,30008880,"2,465,791.80

100%-2,880,852.48
90%-2,592,767.23
10%-288,085.25
 정산-126,975.43 ",,212952.75,1265109.33,,,,전남강진(가오),720WP,1353,,,,,,,,,,,,,,,,,,,,,,,30008880,,,,,,,,2026-02-18,21384,탑솔라,,,2026-02-21,완료,블루,9대,720WP,2026-03-06
M0215604NU00160,수입진행상황(module)-2026년도.xlsx,라이젠,5,,,,"3,958,986.24
(5%-197,949.31
95%3,761,036.93)",,NBOZK6Q52100,,,"산업
은행",1,"RS/KRS/KR-A-TOPSOLAR-26031301

(95%, 5%)",656,"141982
(47232만진행, 단가변경)",0.132,2026-04-20,M0215604NU00160,23616,,14996160,1880518.46,,1880518.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29992320,,,,,,,,2026-05-01,23616,탑솔라,,,2026-05-06,,선진,41,RSM156-9 635,
