year,vendor,prefix,has_BL,has_PL,has_CI,has_HBL,has_OBL,file_count,sample_filenames
2024,징코모듈,JWSH24100047,0,0,0,0,1,1,OBL:JWSH24100047 OBL.pdf
2024,징코모듈,JWSH24110001,0,0,0,0,1,1,OBL:JWSH24110001 OBL.pdf
2024,징코모듈,JWSH24110002,0,0,0,0,1,1,OBL:JWSH24110002 OBL.pdf
2024,징코모듈,JWSH24110003,0,0,0,0,1,1,OBL:JWSH24110003 OBL.pdf
2024,징코모듈,JWSH24110019,0,1,2,0,1,4,CI:JWSH24110019 CI.pdf | OBL:JWSH24110019 OBL.pdf | CI:JWSH24110019-CI.pdf | PL:JWSH24110019-PL.pdf
2024,징코모듈,JWSH24110020,0,1,2,0,1,4,CI:JWSH24110020 CI.pdf | OBL:JWSH24110020 OBL.pdf | CI:JWSH24110020-CI.pdf | PL:JWSH24110020-PL.pdf
2024,징코모듈,JWSH24110022,0,1,2,0,1,4,CI:JWSH24110022 CI.pdf | OBL:JWSH24110022 OBL.pdf | CI:JWSH24110022-CI.pdf | PL:JWSH24110022-PL.pdf
2024,징코모듈,JWSH24110023,0,1,2,0,1,4,CI:JWSH24110023 CI.pdf | OBL:JWSH24110023 OBL.pdf | CI:JWSH24110023-CI.pdf | PL:JWSH24110023-PL.pdf
2024,징코모듈,JWSH24110024,1,1,1,0,1,4,CI:JWSH24110024-CI.pdf | PL:JWSH24110024-PL.pdf | BL:JWSH24110024 JWL2021-COPY BL.pdf | OBL:JWSH24110024 OBL.pdf
2024,징코모듈,JWSH24110025,0,1,1,0,1,3,CI:JWSH24110025 -CI.pdf | PL:JWSH24110025 -PL.pdf | OBL:JWSH24110025 OBL.pdf
2024,징코모듈,JWSH24110045,0,1,1,0,1,3,OBL:JWSH24110045 OBL.pdf | CI:JWSH24110045-CI.pdf | PL:JWSH24110045-PL.pdf
2024,징코모듈,JWSH24110046,0,1,1,0,1,3,CI:JWSH24110046 CI.pdf | PL:JWSH24110046-PL.pdf | OBL:JWSH24110046 OBL.pdf
2024,징코모듈,JWSH24110079,0,1,1,0,1,3,CI:JWSH24110079-CI.pdf | PL:JWSH24110079-PL.pdf | OBL:JWSH24110079 OBL.pdf
2024,징코모듈,JWSH24110083,0,2,1,0,1,4,CI:JWSH24110083 CI.pdf | OBL:JWSH24110083 OBL.pdf | PL:JWSH24110083 PL v2.pdf | PL:JWSH24110083 PL.pdf
2024,징코모듈,JWSH24110084,0,1,1,0,1,3,CI:JWSH24110084 CI.pdf | OBL:JWSH24110084 OBL.pdf | PL:JWSH24110084 PL.pdf
2024,징코모듈,JWSH24120043,0,1,1,0,1,3,CI:11520pcs JWSH24120043 CI.pdf | OBL:11520pcs JWSH24120043 OBL.pdf | PL:11520pcs JWSH24120043 PL.pdf
2024,징코모듈,JWSH24120044,0,1,1,0,1,3,CI:12096pcs JWSH24120044 CI.pdf | OBL:12096pcs JWSH24120044 OBL.pdf | PL:12096pcs JWSH24120044 PL.pdf
2024,징코모듈,JWSH250300,0,0,1,0,0,1,CI:CI 8000121180 SNKO03K250201369 JWSH250300.pdf
