file_type,classification,page_count,total_chars,avg_chars_per_page,filename,rel_path
PL,DIGITAL,1,647,647.0,PL 635W 12096pcs SNKO03K250200547.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\PL 635W 12096pcs SNKO03K250200547.pdf
BL,SCAN,2,0,0.0,SNKO03K250201370_BL COPY.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201370_BL COPY.pdf
BL,DIGITAL,2,2343,1171.5,SNKO03K250201370_BL DRAFT.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201370_BL DRAFT.pdf
BL,SCAN,2,0,0.0,SNKO03K250201371_BL COPY.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201371_BL COPY.pdf
BL,DIGITAL,2,2416,1208.0,SNKO03K250201371_BL DRAFT.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201371_BL DRAFT.pdf
CI,DIGITAL,1,1372,1372.0,CI 8000121182 SNKO03K250201370.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\CI 8000121182 SNKO03K250201370.pdf
CI,DIGITAL,1,1375,1375.0,CI 8000121183 SNKO03K250201371.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\CI 8000121183 SNKO03K250201371.pdf
PL,DIGITAL,1,643,643.0,PL 8000121182 SNKO03K250201370.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121182 SNKO03K250201370.pdf
PL,DIGITAL,1,643,643.0,PL 8000121183 SNKO03K250201371.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121183 SNKO03K250201371.pdf
BL,SCAN,1,0,0.0,1 BL copy JWSH24040006 JWL2021-ORG.pdf,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\1 BL copy JWSH24040006 JWL2021-ORG.pdf
OBL,SCAN,2,0,0.0,1 OBL JWSH24040006-OBL.pdf,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\1 OBL JWSH24040006-OBL.pdf
OBL,SCAN,2,0,0.0,JWSH24090056 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\JWSH24090056 OBL.pdf
OBL,SCAN,2,0,0.0,3.OBL JWSH24090078.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\3.OBL JWSH24090078.pdf
OBL,SCAN,2,0,0.0,3.OBL JWSH24090078.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\부산 9.8MW\3.OBL JWSH24090078.pdf
OBL,SCAN,2,0,0.0,JWSH24100046 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\JWSH24100046 OBL.pdf
OBL,SCAN,2,0,0.0,JWSH24100047 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\JWSH24100047 OBL.pdf
