category,filename,rel_path,extracted_lcs,parent
application,론지모듈 610WP 396pcs LC개설 신청서(2024.09.24).pdf,2024년 모듈발주/론지모듈/론지모듈 610WP 396pcs 2024.09.24/론지모듈 610WP 396pcs LC개설 신청서(2024.09.24).pdf,,론지모듈 610WP 396pcs 2024.09.24
amendment,LC 조건변경신청서(론지 610WP 700KW) M12MK2408NU00064.pdf,2024년 모듈발주/론지모듈/론지모듈 610WP 700KW  1152pcs(2024.08.30)/LC 조건변경신청서(론지 610WP 700KW) M12MK2408NU00064.pdf,M12MK2408NU00064,론지모듈 610WP 700KW  1152pcs(2024.08.30)
opening_swift,론지 모듈 610WP  700KW  LC개설 가전문 (2024.08.30).pdf,2024년 모듈발주/론지모듈/론지모듈 610WP 700KW  1152pcs(2024.08.30)/론지 모듈 610WP  700KW  LC개설 가전문 (2024.08.30).pdf,,론지모듈 610WP 700KW  1152pcs(2024.08.30)
application,론지 모듈 610WP  700KW  LC개설 신청서 2024.08.30.pdf,2024년 모듈발주/론지모듈/론지모듈 610WP 700KW  1152pcs(2024.08.30)/론지 모듈 610WP  700KW  LC개설 신청서 2024.08.30.pdf,,론지모듈 610WP 700KW  1152pcs(2024.08.30)
opening_swift,론지 모듈 610WP  700KW  LC개설 전신문 (2024.08.30).pdf,2024년 모듈발주/론지모듈/론지모듈 610WP 700KW  1152pcs(2024.08.30)/론지 모듈 610WP  700KW  LC개설 전신문 (2024.08.30).pdf,,론지모듈 610WP 700KW  1152pcs(2024.08.30)
other_lc,론지모듈 615WP 4879pcs  LC 전문.pdf,2024년 모듈발주/론지모듈/론지모듈 615WP  4879pcs 3MW 2024.11.20/론지모듈 615WP 4879pcs  LC 전문.pdf,,론지모듈 615WP  4879pcs 3MW 2024.11.20
application,론지모듈 615WP(CFP) 3MW LC개설 Draft(2025.04.02).pdf,2024년 모듈발주/론지모듈/론지모듈 615WP 4877pcs 3MW 2025.04.02/론지모듈 615WP(CFP) 3MW LC개설 Draft(2025.04.02).pdf,,론지모듈 615WP 4877pcs 3MW 2025.04.02
application,론지모듈 615WP(CFP) 3MW LC개설 신청서(2025.04.02).pdf,2024년 모듈발주/론지모듈/론지모듈 615WP 4877pcs 3MW 2025.04.02/론지모듈 615WP(CFP) 3MW LC개설 신청서(2025.04.02).pdf,,론지모듈 615WP 4877pcs 3MW 2025.04.02
opening_swift,론지모듈 615WP(CFP) 3MW LC개설 전문(2025.04.02).pdf,2024년 모듈발주/론지모듈/론지모듈 615WP 4877pcs 3MW 2025.04.02/론지모듈 615WP(CFP) 3MW LC개설 전문(2025.04.02).pdf,,론지모듈 615WP 4877pcs 3MW 2025.04.02
opening_swift,KDB_SWIFT발신_(징코솔라 모듈 625N 10MW) 2014.03.25.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/KDB_SWIFT발신_(징코솔라 모듈 625N 10MW) 2014.03.25.pdf,M0215403NU00300,100MW 중 625W 10MW 03.25 선적
application,취소불능화환신용장개설신청서(2024.03.25징코).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/취소불능화환신용장개설신청서(2024.03.25징코).pdf,,100MW 중 625W 10MW 03.25 선적
opening_swift,탑솔라 가전문 0325(수정).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/탑솔라 가전문 0325(수정).pdf,M0215403NU00300,100MW 중 625W 10MW 03.25 선적
opening_swift,징코모듈 625WP 10MW  LC개설 전신문(2024.03.05).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW  LC개설 전신문(2024.03.05).pdf,,100MW 중 625W 10MW 선적
opening_swift,징코모듈 625WP 10MW LC 가전문.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW LC 가전문.pdf,,100MW 중 625W 10MW 선적
application,징코모듈 625WP 10MW LC개설신청서.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW LC개설신청서.pdf,,100MW 중 625W 10MW 선적
opening_swift,탑솔라 가전문(2024.02.21).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(2024.02.21).pdf,M0215402NU00089,100MW 중 625W 5MW 선적
opening_swift,탑솔라 가전문(징코솔라)2024.02.20 취소.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(징코솔라)2024.02.20 취소.pdf,M0215402NU00071,100MW 중 625W 5MW 선적
opening_swift,탑솔라 주식회사 전문(KDB_SWIFT발신_21992407_20240221164115).pdf,2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 주식회사 전문(KDB_SWIFT발신_21992407_20240221164115).pdf,M0215402NU00089,100MW 중 625W 5MW 선적
