rel_path,category,lc_nos_extracted,new_lc_nos,has_swift_marker,amount_hint,date_hint
2024년 모듈발주/론지모듈/론지모듈 615WP 4877pcs 3MW 2025.04.02/론지모듈 615WP(CFP) 3MW LC개설 신청서(2025.04.02).pdf,application,,,False,,
2024년 모듈발주/론지모듈/론지모듈 615WP 4877pcs 3MW 2025.04.02/론지모듈 615WP(CFP) 3MW LC개설 전문(2025.04.02).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/KDB_SWIFT발신_(징코솔라 모듈 625N 10MW) 2014.03.25.pdf,opening_swift,M0215403NU00300,,True,"USD1072426,50",2024.03.25
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/취소불능화환신용장개설신청서(2024.03.25징코).pdf,application,,,False,"USD 1,072,426.50",2024.05.24
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/탑솔라 가전문 0325(수정).pdf,opening_swift,M0215403NU00300,,True,"USD1072426,50",2024.03.25
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW  LC개설 전신문(2024.03.05).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW LC 가전문.pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 선적/징코모듈 625WP 10MW LC개설신청서.pdf,application,,,False,,
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(2024.02.21).pdf,opening_swift,M0215402NU00089,,True,"USD536213,25",2024.02.21
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 가전문(징코솔라)2024.02.20 취소.pdf,opening_swift,M0215402NU00071,,True,"USD536213,25",2024.02.20
2024년 모듈발주/징코모듈/100MW 중 625W 5MW 선적/탑솔라 주식회사 전문(KDB_SWIFT발신_21992407_20240221164115).pdf,opening_swift,M0215402NU00089,,True,"USD536213,25",2024.02.21
2024년 모듈발주/징코모듈/100MW 중 630W 5MW 선적진행 2024.05.25/징코솔라 가전문(2024.05.14).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/100MW 중 630W 5MW 선적진행 2024.05.25/취소불능 화환신용장 개설 신청서(징코솔라 2024.05.14).pdf,application,,,False,,
2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/KDB_수입선적서류인수통지증_21992407_20240412155125.pdf,acceptance,M0215403NU00300,,False,"USD
1,072,426.50",2024.04.12
"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/10MW 선적진행(630WP 15,879pcs)  7.25개설/KDB_SWIFT발신_M0215407NU00395 (630WP 10MW).pdf",opening_swift,M0215407NU00395,,True,"USD945177,66",2024.07.26
"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/10MW 선적진행(630WP 15,879pcs)  7.25개설/디원 가전문.pdf",opening_swift,M0215407NU00370,,True,"USD945177,66",2024.07.25
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/630WP 5MW 진행 7920pcs/디원-징코모듈 630WP 5MW LC개설 전신문.pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7740pcs(2024.10.17)/디원 LC개설 신청서(2024.10.17).pdf,application,,,False,"USD516,064.50",2024-10-17
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7740pcs(2024.10.17)/징코솔라-디원 635WP  7740pcs+100pcs LC개설 전문(2024.10.17).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7920(5MW)09.19/(주)디원 LC개설 전신문(징코모듈 635WP 7920pcs).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  25MW 선적  2024.09.13 개설/징코 모듈 630WP  25MW LC개설 Draft.pdf,application,,,False,,
