year,vendor,prefix,pl_count,ci_count,sample_filename,parent_folder,sibling_bl_pdfs,parent_zips,enhanced_ids_in_filename,hypothesis
2025,징코모듈,JWSH25090007,2,2,JWSH25090007 CI.pdf,디원,../SHKWA25019106 BL update.PDF | ../SHKWA25019106 BL.pdf | ../SHKWA25019107 BL.pdf | ../SHKWA25019109 BL.pdf,,JWSH25090007,H1
2025,징코모듈,JWSH25090011,1,1,JWSH25090011 CI.pdf,디원 9252pcs,,../FW_ Re_ 진코 25Q3선적LC Re_ 7월선적스케줄 Re_    JWSH25070018.zip | ../FW_ Re_ 진코 25Q3선적LC Re_ 7월선적스케줄 Re_ 선적납기  JWSH25070017.zip | ../OneDrive_2025-12-09 디원  11520pcs.zip | ../OneDrive_2025-12-09 디원  5760pcs.zip,JWSH25090011,H3
2025,징코모듈,JWSH25090054,1,1,JWSH25090054 CI.pdf,RE_ 진코솔라 9월 선적스케줄,,../RE_ 진코솔라 9월 선적스케줄.zip,JWSH25090054,H3
2025,징코모듈,JWSH25120010,1,2,"CI_17,280pcs.pdf",징코-화신 635WP 17280pcs  JWSH25120010,,"FW_ ZJNAHW002  8000325101,SNKO03K251103146,QTY_17280 PCS,5000077881,2025-12-24,1030,KR,HWASIN ENG Co.Ltd,HWASIN ENG Co.Ltd,HWASIN ENG Co.Ltd,,MCKRJH25Q402,30_40HQ,CIF,Ningbo,KWANGYANG,1100051178,，出口配舱通知，Booking_approv.zip",JWSH25120010,H3
2025,징코모듈,JWSH25120029,2,2,"CI_15,732pcs  수정본.pdf",징코-탑솔라 15732pcs-JWSH25120029,,,JWSH25120029,H4
2025,징코모듈,LS2512293984,1,0,LS2512293984_CI&PL.pdf,"THE ONE Co., Ltd_40HQ_17_LS2512293984_ATD12.29",,"../THE ONE Co., Ltd_40HQ_17_LS2512293984_ATD12.29.zip",LS2512293984,H3
2025,징코모듈,NBOZQ8C88100 (no-id),1,1,NBOZQ8C88100 CI.pdf,NBOZQ8C88100,,,,H4
2025,징코모듈,NBOZY6445100,1,1,NBOZY6445100 CI.pdf,NBOZY6445100  16128pcs  SHKWA25011758,,,NBOZY6445100 | SHKWA25011758,H4
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건 (no-id)",1,1,"CI_19,332pcs.pdf","RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건","BL_19,332pcs JWSH25120034.pdf","../RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건.zip",JWSH25120034,H1
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건 (no-id)",1,1,"CI_17,532pcs.pdf","RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건","BL_17,532pcs  SELYIT256012.pdf","../RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건.zip",SELYIT256012,H1
2025,징코모듈,SHKWA25010062,1,1,SHKWA25010062 CI.pdf,"징코 10MW(16,128pcs) 2025.06.02 SHKWA25010062",,,SHKWA25010062,H4
2025,징코모듈,SHKWA25019765,1,1,SHKWA25019765 CI.pdf,RE_ 진코솔라 9월 선적스케줄 (마지막 선적),,../RE_ 진코솔라 9월 선적스케줄 (1)JWSH25090011.zip | ../RE_ 진코솔라 9월 선적스케줄 (마지막 선적).zip | ../RE_ 진코솔라 9월 선적스케줄.zip | ../수입신고필증 및 납부고지서 _ 징코모듈 선적서류 송부드립니다..zip,SHKWA25019765,H3
2025,징코모듈,SHKWA25019767,1,1,SHKWA25019767 CI.pdf,RE_ 진코솔라 9월 선적스케줄 (마지막 선적),,../RE_ 진코솔라 9월 선적스케줄 (1)JWSH25090011.zip | ../RE_ 진코솔라 9월 선적스케줄 (마지막 선적).zip | ../RE_ 진코솔라 9월 선적스케줄.zip | ../수입신고필증 및 납부고지서 _ 징코모듈 선적서류 송부드립니다..zip,SHKWA25019767,H3
2025,징코모듈,SHKWA25019768,1,1,SHKWA25019768 CI.pdf,하나은행,,,SHKWA25019768,H4
2025,징코모듈,SHPUS25011179,1,1,SHPUS25011179 CI.pdf,SHPU25011179   17280pcs,,,SHPUS25011179 | SHPU25011179,H4
