year,vendor,prefix,file_type,filename,size_bytes,rel_path
2024,징코모듈,디원 - 징코 635WP 5MW (no-id),OBL,1 OBL EASEK2439NB232_BL.pdf,92648,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\1 OBL EASEK2439NB232_BL.pdf
2024,징코모듈,디원 - 징코 635WP 5MW (no-id),PL,3 PL_Z20240923125-1 2000166667.pdf,76868,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\3 PL_Z20240923125-1 2000166667.pdf
2024,징코모듈,디원 징코 (no-id),CI,CI_Z20240812178-1.pdf,59325,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\디원 징코\CI_Z20240812178-1.pdf
2024,징코모듈,디원 징코 (no-id),PL,PL_Z20240812178-1.pdf,76814,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\디원 징코\PL_Z20240812178-1.pdf
2024,징코모듈,부산 9.8MW (no-id),CI,1.CI_Z20240914116-1 2000164818.pdf,60450,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\1.CI_Z20240914116-1 2000164818.pdf
2024,징코모듈,부산 9.8MW (no-id),CI,1.CI_Z20240914116-1 2000164818.pdf,60450,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\부산 9.8MW\1.CI_Z20240914116-1 2000164818.pdf
2024,징코모듈,부산 9.8MW (no-id),PL,2.PL_Z20240914116-1 2000164818.pdf,76867,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\2.PL_Z20240914116-1 2000164818.pdf
2024,징코모듈,부산 9.8MW (no-id),PL,2.PL_Z20240914116-1 2000164818.pdf,76867,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\부산 9.8MW\2.PL_Z20240914116-1 2000164818.pdf
2024,징코모듈,선적서류 (no-id),CI,CI 1차 5MW.PDF,48903,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\CI 1차 5MW.PDF
2024,징코모듈,선적서류 (no-id),CI,CI_Z20240729119-1.pdf,59314,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\10MW 선적진행(630WP 15,879pcs)  7.25개설\선적 서류  Draft\선적서류\CI_Z20240729119-1.pdf"
2024,징코모듈,선적서류 (no-id),PL,PL 1차 5MW.PDF,26803,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\PL 1차 5MW.PDF
2024,징코모듈,선적서류 (no-id),PL,PL_Z20240729119-1.pdf,76809,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\10MW 선적진행(630WP 15,879pcs)  7.25개설\선적 서류  Draft\선적서류\PL_Z20240729119-1.pdf"
2024,징코모듈,징코 5MW 7992장 (no-id),CI,CI_Z20240222247-1.pdf,52748,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\CI_Z20240222247-1.pdf
