year,vendor,prefix,pl_files,pl_ids,reason
2024,론지모듈,LS2410937742,PL:LS2410937742 DL2024101600354CI&PL.pdf,LS2410937742,ID 매칭되는 BL/OBL/HBL 파일 없음
2025,징코모듈,징코 -화신이엔지 17280pcs (no-id),"CI:CI_17,280pcs.pdf | PL:PL__17,280pcs.pdf",,PL/CI 파일·폴더에서 ID 추출 실패
